Sitio;transecto;cuadrante;punto;especie
1;1;1;1;Grass
1;1;1;2;Bare soil
1;1;1;3;Grass
1;1;1;4;Vascular plants
1;1;1;5;Bare soil
1;1;1;6;Bare soil
1;1;1;7;Bare soil
1;1;1;8;Bare soil
1;1;1;9;Bryum sp.
1;1;1;10;Bare soil
1;1;1;11;Bare soil
1;1;1;12;Lunularia cruciata (L.) Dumont. Ex Lindb.
1;1;1;13;Bare soil
1;1;1;14;Bare soil
1;1;1;15;Bare soil
1;1;1;16;Bare soil
1;1;1;17;Bare soil
1;1;1;18;Bare soil
1;1;1;19;Lunularia cruciata (L.) Dumont. Ex Lindb.
1;1;1;20;Lunularia cruciata (L.) Dumont. Ex Lindb.
1;1;1;21;Bryum sp.
1;1;1;22;Lunularia cruciata (L.) Dumont. Ex Lindb.
1;1;1;23;Bare soil
1;1;1;24;Bare soil
1;1;1;25;Bare soil
1;1;2;1;Bryum sp.
1;1;2;2;Bryum sp.
1;1;2;3;Bryum sp.
1;1;2;4;Rock
1;1;2;5;Bryum sp.
1;1;2;6;Rock
1;1;2;7;Rock
1;1;2;8;Brachymenium sp.
1;1;2;9;Bryum sp.
1;1;2;10;Bryum sp.
1;1;2;11;Lunularia cruciata (L.) Dumont. Ex Lindb.
1;1;2;12;Barbula costesii Thér.
1;1;2;13;Barbula costesii Thér.
1;1;2;14;Bare soil
1;1;2;15;Bryum sp.
1;1;2;16;Rock
1;1;2;17;Bryum sp.
1;1;2;18;Barbula costesii Thér.
1;1;2;19;Bare soil
1;1;2;20;Bare soil
1;1;2;21;Lunularia cruciata (L.) Dumont. Ex Lindb.
1;1;2;22;Bare soil
1;1;2;23;Barbula costesii Thér.
1;1;2;24;Bare soil
1;1;2;25;Brachymenium sp.
1;1;3;1;Sphaerocarpos sp.
1;1;3;2;Brachymenium sp.
1;1;3;3;Barbula costesii Thér.
1;1;3;4;Brachymenium sp.
1;1;3;5;Bryum sp.
1;1;3;6;Bare soil
1;1;3;7;Bryum sp.
1;1;3;8;Bare soil
1;1;3;9;Bare soil
1;1;3;10;Bare soil
1;1;3;11;Bare soil
1;1;3;12;Bare soil
1;1;3;13;Bare soil
1;1;3;14;Bare soil
1;1;3;15;Bare soil
1;1;3;16;Bare soil
1;1;3;17;Bare soil
1;1;3;18;Bare soil
1;1;3;19;Riccia sorocarpa R.M. Schust
1;1;3;20;Bare soil
1;1;3;21;Bryum sp.
1;1;3;22;Bare soil
1;1;3;23;Bare soil
1;1;3;24;Bare soil
1;1;3;25;Bryum sp.
1;1;4;1;Bare soil
1;1;4;2;Bare soil
