Especie;TASA (nmol*ml/day);Muestra;Codigo;TASA CM2;tasa cm2*ml;tasa cm2 hora
Paraphymatoceros diadematus;8.75255;1;QA;0.312591071;45.63829643;1.901595685
Paraphymatoceros diadematus;32.38921637;2;QA;1.156757727;168.8866282;7.036942842
Paraphymatoceros diadematus;16.60279992;3;QA;0.59295714;86.57174246;3.607155936
Paraphymatoceros diadematus;10.37271023;4;B;0.370453937;54.08627475;2.253594781
Paraphymatoceros diadematus;18.44911222;5;B;0.658896865;96.19894227;4.008289261
Paraphymatoceros diadematus;16.03948853;6;B;0.572838876;83.63447593;3.48476983
Paraphymatoceros diadematus;14.92795;7;P;0.533141071;77.83859643;3.243274851
Paraphymatoceros diadematus;4.212696867;8;P;0.15045346;21.96620509;0.915258545
Paraphymatoceros diadematus;9.588008339;9;P;0.342428869;49.99461491;2.083108955
Syntrichia flagellaris;0.011309572;11;B;0.000403913;0.058971341;0.002457139
Syntrichia flagellaris;-0.007291096;12;B;0;0;0
Syntrichia flagellaris;0.039021372;13;B;0.00139362;0.203468581;0.008477858
Syntrichia flagellaris;0.041130257;14;P;0.001468938;0.21446491;0.008936038
Syntrichia flagellaris;0.021475914;15;P;0.000766997;0.111981552;0.004665898
Syntrichia flagellaris;0.012011584;16;P;0.000428985;0.062631833;0.00260966
Syntrichia flagellaris;0.049188646;17;QA;0.001756737;0.256483655;0.010686819
Syntrichia flagellaris;0.046047215;18;QA;0.001644543;0.240103337;0.010004306
Syntrichia flagellaris;0.343343393;19;QA;0.012262264;1.79029055;0.07459544
Fissidens;0.120374095;21;B;0.004299075;0.627664926;0.026152705
Fissidens;-0.005935176;22;B;0;0;0
Fissidens;0.479172503;23;B;0.017113304;2.498542337;0.104105931
Fissidens;0.055332745;24;B;0.001976169;0.288520743;0.012021698
Fissidens;0.211304664;25;B;0.007546595;1.10180289;0.045908454
Fissidens;0.331460249;26;B;0.011837866;1.728328441;0.072013685
Fissidens;0.050089136;27;B;0.001788898;0.261179069;0.010882461
Fissidens;0.051844011;28;B;0.001851572;0.270329487;0.011263729
Fissidens;0.062065505;29;B;0.002216625;0.323627277;0.01348447
Fossombronia;0.448830457;31;QA;0.016029659;2.340330242;0.09751376
Fossombronia;0.64428391;32;QA;0.02301014;3.359480388;0.139978349
Fossombronia;2.449537105;33;QA;0.087483468;12.77258633;0.532191097
Fossombronia;3.942730171;34;QA;0.140811792;20.55852161;0.856605067
Fossombronia;0.161324955;35;QA;0.005761606;0.841194407;0.035049767
Fossombronia;0.323724058;36;QA;0.011561574;1.687989732;0.070332905
Fossombronia;1.699962398;37;QA;0.060712943;8.864089647;0.369337069
Fossombronia;2.920027114;38;P;0.104286683;15.22585567;0.634410653
